"label","mid","lower","upper","paramname","covname","ref","exposurename","MEANEXP","LOWCI","UPCI","MEANLABEL","LOWCILABEL","UPCILABEL","LABEL"
"TMC207",0.986868776758467,0.976910666656657,0.987942800145303,"Alpha","Treatment Arm",1,"Alpha",0.986868776758467,0.976910666656657,0.987942800145303,"0.99","0.98","0.99","0.99 [0.98-0.99]"
"MRZE",1.04675839924246,1.04293723047893,1.09725788422361,"Alpha","Treatment Arm",1,"Alpha",1.04675839924246,1.04293723047893,1.09725788422361,"1.0","1.0","1.1","1.0 [1.0-1.1]"
"Placebo",0.760311546571989,0.692872347154496,0.812237048316407,"Alpha","Treatment Arm",1,"Alpha",0.760311546571989,0.692872347154496,0.812237048316407,"0.76","0.69","0.81","0.76 [0.69-0.81]"
"MICRONUTRIENT/RHZE",0.856861057613731,0.785626983420938,0.891221642884681,"Alpha","Treatment Arm",1,"Alpha",0.856861057613731,0.785626983420938,0.891221642884681,"0.86","0.79","0.89","0.86 [0.79-0.89]"
"PA-824/PZ/M",1.21294950390728,1.09860248621549,1.27562585520228,"Alpha","Treatment Arm",1,"Alpha",1.21294950390728,1.09860248621549,1.27562585520228,"1.2","1.1","1.3","1.2 [1.1-1.3]"
"PHZE",1.01004725814388,1.00913202960635,1.0146749019059,"Alpha","Treatment Arm",1,"Alpha",1.01004725814388,1.00913202960635,1.0146749019059,"1.0","1.0","1.0","1.0 [1.0-1.0]"
"TMC207",0.987661846940829,0.985254017766087,0.990806696212584,"Beta","Treatment Arm",1,"Beta",0.987661846940829,0.985254017766087,0.990806696212584,"0.99","0.99","0.99","0.99 [0.99-0.99]"
"MRZE",1.23503770502684,1.04132133639966,1.27620961945487,"Beta","Treatment Arm",1,"Beta",1.23503770502684,1.04132133639966,1.27620961945487,"1.2","1.0","1.3","1.2 [1.0-1.3]"
"Placebo",0.899599603183807,0.863420955715486,0.967390397241775,"Beta","Treatment Arm",1,"Beta",0.899599603183807,0.863420955715486,0.967390397241775,"0.90","0.86","0.97","0.90 [0.86-0.97]"
"MICRONUTRIENT/RHZE",0.961393965813254,0.956077485439778,0.983875344375518,"Beta","Treatment Arm",1,"Beta",0.961393965813254,0.956077485439778,0.983875344375518,"0.96","0.96","0.98","0.96 [0.96-0.98]"
"PA-824/PZ/M",1.02323870707587,1.02088421068584,1.03605004121308,"Beta","Treatment Arm",1,"Beta",1.02323870707587,1.02088421068584,1.03605004121308,"1.0","1.0","1.0","1.0 [1.0-1.0]"
"PHZE",1.01817651804743,0.999720733027283,1.01939395862148,"Beta","Treatment Arm",1,"Beta",1.01817651804743,0.999720733027283,1.01939395862148,"1.0","1.0","1.0","1.0 [1.0-1.0]"
"TMC207",0.859038103506253,0.841915627188502,0.992640783872253,"Offset","Treatment Arm",1,"Offset",0.859038103506253,0.841915627188502,0.992640783872253,"0.86","0.84","0.99","0.86 [0.84-0.99]"
"MRZE",1.46557037328672,0.974286732122476,1.60960156787465,"Offset","Treatment Arm",1,"Offset",1.46557037328672,0.974286732122476,1.60960156787465,"1.5","0.97","1.6","1.5 [0.97-1.6]"
"Placebo",0.878098504259948,0.865323935714026,1.25674352952549,"Offset","Treatment Arm",1,"Offset",0.878098504259948,0.865323935714026,1.25674352952549,"0.88","0.87","1.3","0.88 [0.87-1.3]"
"MICRONUTRIENT/RHZE",0.81197924458748,0.78821372600869,1.06880394783359,"Offset","Treatment Arm",1,"Offset",0.81197924458748,0.78821372600869,1.06880394783359,"0.81","0.79","1.1","0.81 [0.79-1.1]"
"PA-824/PZ/M",0.74880026493953,0.616418785406745,0.921797367062483,"Offset","Treatment Arm",1,"Offset",0.74880026493953,0.616418785406745,0.921797367062483,"0.75","0.62","0.92","0.75 [0.62-0.92]"
"PHZE",0.960711666395119,0.946585435733899,0.967559025664867,"Offset","Treatment Arm",1,"Offset",0.960711666395119,0.946585435733899,0.967559025664867,"0.96","0.95","0.97","0.96 [0.95-0.97]"
"TMC207",0.90702487832356,0.895478850761815,1.06257851440834,"Gamma","Treatment Arm",1,"Gamma",0.90702487832356,0.895478850761815,1.06257851440834,"0.91","0.90","1.1","0.91 [0.90-1.1]"
"MRZE",1.0551195731666,1.02700042009811,1.06424147727947,"Gamma","Treatment Arm",1,"Gamma",1.0551195731666,1.02700042009811,1.06424147727947,"1.1","1.0","1.1","1.1 [1.0-1.1]"
"Placebo",1.02476067753836,1.01251453454328,1.02595410881731,"Gamma","Treatment Arm",1,"Gamma",1.02476067753836,1.01251453454328,1.02595410881731,"1.0","1.0","1.0","1.0 [1.0-1.0]"
"MICRONUTRIENT/RHZE",1.74763247403864,1.41964529761731,2.09236263527066,"Gamma","Treatment Arm",1,"Gamma",1.74763247403864,1.41964529761731,2.09236263527066,"1.7","1.4","2.1","1.7 [1.4-2.1]"
"PA-824/PZ/M",1.03491872803861,1.01715620329553,1.03744666284999,"Gamma","Treatment Arm",1,"Gamma",1.03491872803861,1.01715620329553,1.03744666284999,"1.0","1.0","1.0","1.0 [1.0-1.0]"
"PHZE",1.0294906856556,1.02723217861892,1.06704504454824,"Gamma","Treatment Arm",1,"Gamma",1.0294906856556,1.02723217861892,1.06704504454824,"1.0","1.0","1.1","1.0 [1.0-1.1]"
"RHZE",1,0.940715671032115,1.0726601626237,"Alpha","Treatment Arm",1,"Alpha",1,0.940715671032115,1.0726601626237,"1.0","0.94","1.1","1.0 [0.94-1.1]"
"RHZE",1,0.908006080679807,1.06020198020972,"Beta","Treatment Arm",1,"Beta",1,0.908006080679807,1.06020198020972,"1.0","0.91","1.1","1.0 [0.91-1.1]"
"RHZE",1,0.567805760392991,1.20432344371401,"Offset","Treatment Arm",1,"Offset",1,0.567805760392991,1.20432344371401,"1.0","0.57","1.2","1.0 [0.57-1.2]"
"RHZE",1,0.912965303200217,1.10324867681696,"Gamma","Treatment Arm",1,"Gamma",1,0.912965303200217,1.10324867681696,"1.0","0.91","1.1","1.0 [0.91-1.1]"
